Workloads, Iterations Number, Attack Time (Days), Attack Time (Seconds)
4800_0.out, 100000, 7.40286e+07, 856.8125
4800_50.out, 100000, 8.46883e+07, 980.1886574074074
4800_100.out, 100000, 9.86008e+07, 1141.2129629629628
4800_150.out, 100000, 1.13588e+08, 1314.6759259259259
4800_200.out, 100000, 1.33652e+08, 1546.898148148148
4800_250.out, 100000, 1.55552e+08, 1800.3703703703704
4800_300.out, 100000, 1.85015e+08, 2141.377314814815
4800_350.out, 100000, 2.20764e+08, 2555.138888888889
4800_400.out, 100000, 2.6365e+08, 3051.5046296296296
4800_450.out, 100000, 3.15864e+08, 3655.8333333333335
4800_500.out, 100000, 3.87233e+08, 4481.863425925926
4800_550.out, 100000, 899634, 10.412430555555556
4800_600.out, 100000, 1.06519e+06, 12.328587962962963
4800_650.out, 100000, 1.26445e+06, 14.634837962962962
4800_700.out, 100000, 1.52664e+06, 17.669444444444444
4800_750.out, 100000, 1.86156e+06, 21.545833333333334
4800_800.out, 100000, 2.32528e+06, 26.912962962962965
4800_850.out, 100000, 2.9106e+06, 33.6875
4800_900.out, 100000, 3.74421e+06, 43.33576388888889
4800_950.out, 100000, 4.91743e+06, 56.91469907407407
4800_1000.out, 100000, 6.65702e+06, 77.04884259259259
4800_1050.out, 100000, 9.25734e+06, 107.14513888888888
4800_1100.out, 100000, 13760.2, 0.15926157407407407
4800_1150.out, 100000, 18176.7, 0.21037847222222225
4800_1200.out, 100000, 25656.1, 0.29694560185185187
4800_1250.out, 100000, 38128.5, 0.4413020833333334
4800_1300.out, 100000, 63126.7, 0.7306331018518518
4800_1350.out, 100000, 123351, 1.4276736111111112
4800_1400.out, 100000, 348135, 4.029340277777778
